*ItemCode,ItemName,Quantity,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount,Status,InventoryType
clambbx,Burger Box,,Burger Box,20.34,PACK,GST on Expenses,,,,,,,Active,Untracked
Cleaning,Cleaning,,Cleaning,70.00,408,GST on Expenses,,,,,,,Active,Untracked
CLEANING SUPPLIES,Cleaning Supplies,,Cleaning Supplies,0.00,460,GST on Expenses,,,,,,,Active,Untracked
Clingwrap,Clingwrap,,Clingwrap,"2,388.00",PACK,GST on Expenses,,,,,,,Active,Untracked
Cocktail Straws,Cocktail Straws,,Cocktail Straws,3.50,PACK,GST on Expenses,,,,,,,Active,Untracked
Cocoa Powder,Cocoa Powder,,Cocoa Powder,22.00,310,GST Free Expenses,,,,,,,Active,Untracked
COCOGINGER,GINGER COCONUT,,GINGER COCONUT,44.82,310,GST on Expenses,,,,,,,Active,Untracked
Coconut. Chips,Coconut Chips,,Coconut Chips,12.54,460,GST Free Expenses,,,,,,,Active,Untracked
COCONUTWATER,COCONUT WATER,,COCONUT WATER,44.82,310,GST Free Expenses,,,,,,,Active,Untracked
COCOWATERMELON,WATERMELON COCONUT,,WATERMELON COCONUT,44.82,310,GST Free Expenses,,,,,,,Active,Untracked
COFFEE,Brass Botero,,Brass Botero 1Kg,29.00,310,GST Free Expenses,,,,,,,Active,Untracked
Coffee Cards,Coffee Cards,,,,,,Coffee Cards,0.00,,,,,Active,Untracked
COFFEE MACHINE PARTS,COFFEE MACHINE PARTS,,COFFEE MACHINE PARTS,41.25,429,GST on Expenses,,,,,,,Active,Untracked
COFFEE SUPPLIES,COFFEE SUPPLIES,,COFFEE SUPPLIES,0.00,310,GST Free Expenses,,,,,,,Active,Untracked
Coffee Tray(2),Coffee Tray(2),,Coffee Tray(2),6.36,PACK,GST on Expenses,,,,,,,Active,Untracked
CoffeeCleaner,Coffee Cleaner,,Coffee Cleaner,20.00,460,GST on Expenses,,,,,,,Active,Untracked
