*ItemCode,ItemName,Quantity,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount,Status,InventoryType
000,SDT STRIPS,,SDT STRIPS,23.00,310,GST Free Expenses,,,,,,,Active,Untracked
01,Bondi Shirts & Emroidery,,Bondi Shirts & Emroidery,46.30,321,GST on Expenses,,,,,,,Active,Untracked
100,Loose eggs 600g,,Loose eggs 600g,52.00,310,GST Free Expenses,,,,,,,Active,Untracked
10001,GreenPro Dishwash Det,,GreenPro Dishwash Det,99.95,408,GST on Expenses,,,,,,,Active,Untracked
1001,SHUCK OYSTERS,,,,,,SHUCK OYSTERS,288.00,260,GST on Income,,,Active,Untracked
100158,Hummingbird Cake,,Hummingbird Cake,35.99,310,GST on Expenses,,,,,,,Active,Untracked
10020,Rinse All,,Rinse All,102.36,408,GST on Expenses,,,,,,,Active,Untracked
10033D,Hand Soap,,Hand Soap,126.20,408,GST on Expenses,,,,,,,Active,Untracked
10167,MAPLE SYRUP,,MAPLE SYRUP,18.06,310,GST Free Expenses,,,,,,,Active,Untracked
10276,Degreaser,,Degreaser,41.2727,408,GST on Expenses,,,,,,,Active,Untracked
10279,Dose N Fill Sanitiser,,Dose N Fill Sanitiser,108.48,408,GST on Expenses,,,,,,,Active,Untracked
104614,SALMON,,SALMON,130.32,310,GST Free Expenses,,,,,,,Active,Untracked
104621,BBQ Sauce,,BBQ Sauce,10.36,310,GST Free Expenses,,,,,,,Active,Untracked
107532,GREASEPROOF PAPER,,GREASEPROOF PAPER,29.33,PACK,GST on Expenses,,,,,,,Active,Untracked
108226,Hash Browns Oval Edgell,,Hash Browns Oval Edgell,10.50,310,GST Free Expenses,,,,,,,Active,Untracked
108644,Flathead Flt,,Flathead Flt Beer Battered,54.28,310,GST on Expenses,,,,,,,Active,Untracked
109158,Muffin Wrap Parchment Carton,,Muffin Wrap Parchment Carton,52.83,310,GST on Expenses,,,,,,,Active,Untracked
110684,MILKSHAKE CUPS,,MILKSHAKE CUPS,4.67,PACK,GST on Expenses,,,,,,,Active,Untracked
110686,Milkshake Lids,,Milkshake Lids,3.75,PACK,GST on Expenses,,,,,,,Active,Untracked
112375,Dukkah,,Dukkah,25.80,310,GST Free Expenses,,,,,,,Active,Untracked
114511,Spring Rolls,,Spring Rolls,29.17,310,GST Free Expenses,,,,,,,Active,Untracked
115142,Sauce Cranberry,,Sauce Cranberry,20.07,310,GST Free Expenses,,,,,,,Active,Untracked
116157,Passionfruit Cheesecake,,Passinfruit CH,44.08,310,GST on Expenses,,,,,,,Active,Untracked
11831,Passionfruit Pulp,,Passionfruit Pulp,2.95,310,GST Free Expenses,,,,,,,Active,Untracked
123,GASFITTING,,GASFITTING,0.00,473,GST on Expenses,,,,,,,Active,Untracked
12428,CHOC BUTTONS,,CHOC BUTTONS,49.05,310,GST Free Expenses,,,,,,,Active,Untracked
12661,SALT 10KG,,SALT 10KG,6.78,460,GST Free Expenses,,,,,,,Active,Untracked
127,Roll Towel 80mx16,,Roll Towel 80mx16,43.64,408,GST on Expenses,,,,,,,Active,Untracked
128399,Squid Fillets Pineapple Cut,,Squid Fillets Pineapple Cut,54.43,310,GST Free Expenses,,,,,,,Active,Untracked
129723,Orange Juice,,Orange Juice,26.55,310,GST Free Expenses,,,,,,,Active,Untracked
129724,Apple Juice,,Apple Juice,26.55,310,GST Free Expenses,,,,,,,Active,Untracked
1310,Fitout Contribution,,,,,,,,,,,,Active,Untracked
1313,Fitout Contribution,,,,,,,,,,,,Active,Untracked
131899,Cocktail Napkins,,Cocktail Napkins,3.09,PACK,GST on Expenses,,,,,,,Active,Untracked
132460,GLUTEN FREE FLOUR,,GLUTEN FREE FLOUR,38.00,310,GST Free Expenses,,,,,,,Active,Untracked
135834,Mayonnaise Aioli,,Mayonnaise Aioli,7.62,310,GST Free Expenses,,,,,,,Active,Untracked
137252,Hommus Squeeze,,Hommus Squeeze,10.26,310,GST Free Expenses,,,,,,,Active,Untracked
140722,Sparkling Water,,Sparkling Water,35.13,310,GST on Expenses,,,,,,,Active,Untracked
141694,Hazelnut Syrup,,Hazelnut Syrup,13.12,310,GST on Expenses,,,,,,,Active,Untracked
141695,Caramel Syrup,,Caramel Syrup,17.84,310,GST on Expenses,,,,,,,Active,Untracked
141697,Vanilla Syrup,,Vanilla Syrup,13.12,310,GST on Expenses,,,,,,,Active,Untracked
146092,Pulled Pork,,Pulled Pork,12.65,310,GST Free Expenses,,,,,,,Active,Untracked
146179,Strawberry Cheesecake P/C,,Strawberry Cheesecake P/C,21.04,310,GST on Expenses,,,,,,,Active,Untracked
146180,Citrus Tarts G/F PC,,Citrus Tarts G/F PC,19.82,310,GST on Expenses,,,,,,,Active,Untracked
146184,Red Velvet Slice,,Red Velvet Slice,53.10,310,GST on Expenses,,,,,,,Active,Untracked
14637,Stock Vegeta,,Stock Vegeta,13.17,310,GST Free Expenses,,,,,,,Active,Untracked
147560,FRY OIL,,FRY OIL,61.10,460,GST Free Expenses,,,,,,,Active,Untracked
150 Lashes,150 Lashes,,150 Lashes,22.99,310,GST on Expenses,,,,,,,Active,Untracked
150721,Gloves Medium,,Gloves Medium,5.90,408,GST on Expenses,,,,,,,Active,Untracked
151200,AIOLI,,AILOI,8.04,310,GST Free Expenses,,,,,,,Active,Untracked
151844,Tiramisu Slice,,Tiramisu Slice,39.88,310,GST on Expenses,,,,,,,Active,Untracked
152311,Mussels Half Shell,,Mussels Half Shell,16.46,310,GST Free Expenses,,,,,,,Active,Untracked
156647,Tortilla Wraps,,Tortilla Wraps,4.07,310,GST Free Expenses,,,,,,,Active,Untracked
156753,perch,,perch,95.11,310,GST Free Expenses,,,,,,,Active,Untracked
156763,Spring Rolls Peking Duck,,Spring Rolls Peking Duck,13.58,310,GST Free Expenses,,,,,,,Active,Untracked
158638,Sweet Chilli Sauce,,Sauce Sweet Chilli Gluten Free,14.64,310,GST on Expenses,,,,,,,Active,Untracked
159631,cream cheese,,cream cheese,11.85,310,GST Free Expenses,,,,,,,Active,Untracked
159698,Relish Tomato,,Relish Tomato,26.72,310,GST Free Expenses,,,,,,,Active,Untracked
159833,BRISKET,,BRISKET,14.01,310,GST Free Expenses,,,,,,,Active,Untracked
159917,roasted peppers,,roasted peppers,14.45,310,GST Free Expenses,,,,,,,Active,Untracked
160278,Teriyaki Sauce Thick,,Teriyaki Sauce Thick,21.25,310,GST Free Expenses,,,,,,,Active,Untracked
160650,Danish Fetta,,Danish Fetta,15.99,310,GST Free Expenses,,,,,,,Active,Untracked
1625,Seeded Mustard,,Seeded Mustard,20.10,310,GST Free Expenses,,,,,,,Active,Untracked
162650,COCONUT CHIPS,,COCONUT CHIPS,14.53,310,GST Free Expenses,,,,,,,Active,Untracked
163099,Mussels,,Mussels In Half Shell Green Medium NZ,16.92,310,GST Free Expenses,,,,,,,Active,Untracked
163560,CANNELLINI BEANS,,CANNELLINI BEANS,8.11,310,GST Free Expenses,,,,,,,Active,Untracked
164190,BAO BUNS,,BAO BUNS,8.15,310,GST Free Expenses,,,,,,,Active,Untracked
165812,Sourdough,,Sourdough,43.44,310,GST Free Expenses,,,,,,,Active,Untracked
165955,Gherkins,,Gherkins,10.85,310,GST Free Expenses,,,,,,,Active,Untracked
166631,Bacon Primo,,Bacon Primo,25.00,310,GST Free Expenses,,,,,,,Active,Untracked
167469,Sour Cream,,Sour Cream,16.61,310,GST on Expenses,,,,,,,Active,Untracked
167694,FISH COCKTAILS,,FISH COCKTAILS,13.70,310,GST Free Expenses,,,,,,,Active,Untracked
168461,Passionfruit Slice,,Passionfruit Slice,17.75,310,GST on Expenses,,,,,,,Active,Untracked
169103,DOME LIDS,,DOME LIDS,8.04,PACK,GST on Expenses,,,,,,,Active,Untracked
169350,BURGER BOX XLARGE,,BURGER BOX XLARGE,19.83,PACK,GST on Expenses,,,,,,,Active,Untracked
16OZCUPSLV,16OZ T/A CUPS Sleeve,,Cup T/A Botero 16oz (500/box),9.25,PACK,GST on Expenses,,,,,,,Active,Untracked
170016,TURKISH ROLLS,,TURKISH ROLLS,53.98,310,GST Free Expenses,,,,,,,Active,Untracked
17016,Hash Browns,,Hash Browns Oval,7.85,310,GST Free Expenses,,,,,,,Active,Untracked
170607,Prawn Cutlets,,Prawn Cutlets 26/30 Vannamei Raw,22.95,310,GST Free Expenses,,,,,,,Active,Untracked
171309,HALOUMI,,HALOUMI,21.59,310,GST Free Expenses,,,,,,,Active,Untracked
171627,Basil Pesto,,Basil Pesto,24.47,310,GST Free Expenses,,,,,,,Active,Untracked
171881,Turkish Bread,,Bread Turkish Long Wrapped,20.72,310,GST Free Expenses,,,,,,,Active,Untracked
172092,Milk Lactose Free,,Milk Lactose Free,2.05,310,GST Free Expenses,,,,,,,Active,Untracked
17288,Thickened Cream,,Thickened Cream,38.91,310,GST Free Expenses,,,,,,,Active,Untracked
172904,Smoked Salmon,,Smoked Salmon,29.95,310,GST Free Expenses,,,,,,,Active,Untracked
173299,Almond Milk Milk Lab,,Almond Milk Milk Lab,3.82,310,GST Free Expenses,,,,,,,Active,Untracked
173302,Milk Lab Soy,,Milk Lab Soy,2.75,310,GST Free Expenses,,,,,,,Active,Untracked
174227,BARRAMUNDI,,BARRAMUNDI,145.38,310,GST Free Expenses,,,,,,,Active,Untracked
174629,Paper Straws,,Paper Straws,3.42,PACK,GST on Expenses,,,,,,,Active,Untracked
17960,YOGHURT,,YOGHURT,4.66,310,GST Free Expenses,,,,,,,Active,Untracked
180104,Ruby Tuesday,,Ruby Tuesday,31.73,310,GST Free Expenses,,,,,,,Active,Untracked
181864,prawns,,prawns,16.00,310,GST Free Expenses,,,,,,,Active,Untracked
181869,PRAWN MEAT,,PRAWN MEAT,17.91,310,GST Free Expenses,,,,,,,Active,Untracked
181926,SANDWICH GERKINS,,SANDWICH GERKINS,12.68,310,GST Free Expenses,,,,,,,Active,Untracked
183968,CHIPS,,CHIPS,36.00,310,GST Free Expenses,,,,,,,Active,Untracked
184212,Turkish Rolls,,Turkish Rolls,24.78,310,GST Free Expenses,,,,,,,Active,Untracked
184484,TASTY CHEESE,,TASTY CHEESE,16.39,310,GST on Expenses,,,,,,,Active,Untracked
185996,parmesan alfinas,,parmesan alfinas,17.20,310,GST Free Expenses,,,,,,,Active,Untracked
185999,Orange Juice Harvest,,Orange Juice Harvest,28.65,310,GST Free Expenses,,,,,,,Active,Untracked
187235,Bread Milk Buns,,Bread Milk Buns,29.50,310,GST Free Expenses,,,,,,,Active,Untracked
188282,BIO CUPS,,BIO CUPS,8.97,PACK,GST on Expenses,,,,,,,Active,Untracked
188318,Oat Milk,,Oat Milk,3.05,310,GST Free Expenses,,,,,,,Active,Untracked
189362,Lemon Juice,,Lemon Juice,2.83,310,GST Free Expenses,,,,,,,Active,Untracked
189373,WHIP BULBS,,WHIP BULBS,8.03,460,GST Free Expenses,,,,,,,Active,Untracked
189617,Parmesan,,Parmesan,18.60,310,GST Free Expenses,,,,,,,Active,Untracked
190015,Cornflour,,Cornflour,22.95,310,GST Free Expenses,,,,,,,Active,Untracked
190018,QUINOA TRI COLOUR,,QUINOA TRI COLOUR,7.64,310,GST Free Expenses,,,,,,,Active,Untracked
191428,Banoffee Tart,,Banoffee,17.15,310,GST Free Expenses,,,,,,,Active,Untracked
191700,Memphis Spice,,Memphis Spice,18.69,310,GST Free Expenses,,,,,,,Active,Untracked
1919,Fitout Contribution,,,,,,Fitout Contribution,0.00,,,,,Active,Untracked
195144,Pesto,,Pesto,12.95,310,GST Free Expenses,,,,,,,Active,Untracked
1956,Peanut Butter Smooth,,Peanut Butter Smooth,21.83,310,GST Free Expenses,,,,,,,Active,Untracked
196309,SMOKED SALMON 300GM,,SMOKED SALMON 300GM,9.07,310,GST Free Expenses,,,,,,,Active,Untracked
196902,Tuxedo,,Tuxedo,39.65,310,GST on Expenses,,,,,,,Active,Untracked
197269,BURGER BOX,,BURGER BOX,8.79,PACK,GST on Expenses,,,,,,,Active,Untracked
197270,SNACKBOX LGE,,SNACKBOX LGE,12.09,PACK,GST on Expenses,,,,,,,Active,Untracked
198418,BALSAMIC GLAZE,,BALSAMIC GLAZE,7.59,310,GST Free Expenses,,,,,,,Active,Untracked
201831,CHORIZO,,CHORIZO,34.81,310,GST Free Expenses,,,,,,,Active,Untracked
202196,Oat Milk,,Oat Milk,3.75,310,GST Free Expenses,,,,,,,Active,Untracked
202570,CORNFLOUR,,CORNFLOUR,10.24,310,GST Free Expenses,,,,,,,Active,Untracked
204320,KIng Dory,,KIng Dory,55.40,310,GST Free Expenses,,,,,,,Active,Untracked
204431,OCEAN TROUT,,OCEAN TROUT,97.50,310,GST Free Expenses,,,,,,,Active,Untracked
206266,ONION RINGS,,ONION RINGS,16.15,310,GST Free Expenses,,,,,,,Active,Untracked
208496,BARRA TAIL ON,,BARRA TAIL ON,107.85,310,GST Free Expenses,,,,,,,Active,Untracked
211541,THICKENED CREAM,,THICKENED CREAM,20.32,310,GST Free Expenses,,,,,,,Active,Untracked
233,Caramel Topping,,Caramel Topping,8.39,310,GST Free Expenses,,,,,,,Active,Untracked
234,Topping Chocolate,,Topping Chocolate,8.39,310,GST Free Expenses,,,,,,,Active,Untracked
24,HONEY,,HONEY,23.56,310,GST Free Expenses,,,,,,,Active,Untracked
24072,Apple Cider Vinegar,,Apple Cider Vinegar,14.91,310,GST Free Expenses,,,,,,,Active,Untracked
25,Roll Towel,,Roll Towel,49.09,460,GST on Expenses,,,,,,,Active,Untracked
256767,Barra Skin On,,Barra Skin On,70.00,310,GST Free Expenses,,,,,,,Active,Untracked
26,Super Economy 20 L Dishwash Det,,Super Economy 20 L Dishwash Det,22.73,408,GST on Expenses,,,,,,,Active,Untracked
28164,WHOLE TOMATOES,,WHOLE TOMATOES,5.76,310,GST Free Expenses,,,,,,,Active,Untracked
34,Vegetable Oil,,Vegetable Oil,40.00,460,GST Free Expenses,,,,,,,Active,Untracked
35,Arome Fry Oil,,Arome Fry Oil,79.00,460,GST Free Expenses,,,,,,,Active,Untracked
3567,VEG OIL,,VEG OIL,54.67,460,GST Free Expenses,,,,,,,Active,Untracked
37,Vegetable Oil 20L,,Vegetable Oil 20L,39.00,460,GST Free Expenses,,,,,,,Active,Untracked
37065,Death By Choc,,Death By Choc,37.23,310,GST on Expenses,,,,,,,Active,Untracked
37074,Torte Coconut & Mango,,Torte Coconut & Mango,37.93,310,GST on Expenses,,,,,,,Active,Untracked
37080,Wildberry Chesecake,,Wildberry Chesecake,45.74,310,GST on Expenses,,,,,,,Active,Untracked
37083,PECAN PIE,,PECAN PIE,33.74,310,GST on Expenses,,,,,,,Active,Untracked
37180,FROZEN YOGHURT,,FROZEN YOGHURT,31.14,310,GST on Expenses,,,,,,,Active,Untracked
39,20LT Riverina Frying Oil,,20LT Riverina Frying Oil,46.00,310,GST Free Expenses,,,,,,,Active,Untracked
3COWS,Danish Feta,,Danish Feta,52.10,310,GST Free Expenses,,,,,,,Active,Untracked
3fw,Paper bags,,Paper bags,14.60,PACK,GST on Expenses,,,,,,,Active,Untracked
4 cup tray,4 cup tray,,4 cuo tray,10.91,PACK,GST on Expenses,,,,,,,Active,Untracked
4384,Hollandaise Sauce,,Sauce Hollandaise Garde Dor Tetra,10.19,310,GST on Expenses,,,,,,,Active,Untracked
44067,GB Snapper,,GB Snapper,106.24,310,GST Free Expenses,,,,,,,Active,Untracked
4885,Vanilla Essence,,Vanilla Essence,12.60,310,GST Free Expenses,,,,,,,Active,Untracked
4cte,4 cup tray,,4 cup tray,15.13,PACK,GST on Expenses,,,,,,,Active,Untracked
55770,PEPPER CRACKED,,PEPPER CRACKED,17.06,310,GST Free Expenses,,,,,,,Active,Untracked
55775,LEMON PEPPER,,LEMON PEPPER,16.96,310,GST Free Expenses,,,,,,,Active,Untracked
56340,Self Raising Flour,,Self Raising Flour,12.19,310,GST Free Expenses,,,,,,,Active,Untracked
